S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
264,AQM Budhanilkantha,43,31.27,2018-11-29 03:32:03 ( Asia/Katmandu)
265,AQM Budhanilkantha,41,29.86,2018-11-29 03:22:03 ( Asia/Katmandu)
266,AQM Budhanilkantha,47,34.08,2018-11-29 03:12:03 ( Asia/Katmandu)
267,AQM Budhanilkantha,41,29.86,2018-11-29 03:02:03 ( Asia/Katmandu)
268,AQM Budhanilkantha,41,29.86,2018-11-29 02:52:03 ( Asia/Katmandu)
269,AQM Budhanilkantha,32,23.52,2018-11-29 02:42:03 ( Asia/Katmandu)
270,AQM Budhanilkantha,44,31.97,2018-11-29 02:32:03 ( Asia/Katmandu)
271,AQM Budhanilkantha,39,28.45,2018-11-29 02:22:03 ( Asia/Katmandu)
272,AQM Budhanilkantha,35,25.63,2018-11-29 02:12:03 ( Asia/Katmandu)
273,AQM Budhanilkantha,38,27.75,2018-11-29 02:02:03 ( Asia/Katmandu)
274,AQM Budhanilkantha,46,33.38,2018-11-29 01:52:03 ( Asia/Katmandu)
275,AQM Budhanilkantha,40,29.15,2018-11-29 01:42:03 ( Asia/Katmandu)
276,AQM Budhanilkantha,45,32.68,2018-11-29 01:32:03 ( Asia/Katmandu)
277,AQM Budhanilkantha,44,31.97,2018-11-29 01:22:03 ( Asia/Katmandu)
278,AQM Budhanilkantha,48,34.79,2018-11-29 01:12:03 ( Asia/Katmandu)
279,AQM Budhanilkantha,47,34.08,2018-11-29 01:02:03 ( Asia/Katmandu)
280,AQM Budhanilkantha,45,32.68,2018-11-29 00:52:03 ( Asia/Katmandu)
281,AQM Budhanilkantha,42,30.56,2018-11-29 00:42:03 ( Asia/Katmandu)
282,AQM Budhanilkantha,44,31.97,2018-11-29 00:32:03 ( Asia/Katmandu)
283,AQM Budhanilkantha,48,34.79,2018-11-29 00:22:03 ( Asia/Katmandu)
284,AQM Budhanilkantha,48,34.79,2018-11-29 00:12:03 ( Asia/Katmandu)
285,AQM Budhanilkantha,52,37.6,2018-11-29 00:02:03 ( Asia/Katmandu)
286,AQM Budhanilkantha,53,38.31,2018-11-28 23:52:03 ( Asia/Katmandu)
287,AQM Budhanilkantha,51,36.9,2018-11-28 23:42:03 ( Asia/Katmandu)
288,AQM Budhanilkantha,55,39.72,2018-11-28 23:32:03 ( Asia/Katmandu)
289,AQM Budhanilkantha,50,36.2,2018-11-28 23:22:03 ( Asia/Katmandu)
290,AQM Budhanilkantha,51,36.9,2018-11-28 23:12:03 ( Asia/Katmandu)
291,AQM Budhanilkantha,46,33.38,2018-11-28 23:02:03 ( Asia/Katmandu)
292,AQM Budhanilkantha,44,31.97,2018-11-28 22:52:03 ( Asia/Katmandu)
293,AQM Budhanilkantha,45,32.68,2018-11-28 22:42:03 ( Asia/Katmandu)
294,AQM Budhanilkantha,47,34.08,2018-11-28 22:32:04 ( Asia/Katmandu)
295,AQM Budhanilkantha,40,29.15,2018-11-28 22:22:04 ( Asia/Katmandu)
296,AQM Budhanilkantha,46,33.38,2018-11-28 22:12:04 ( Asia/Katmandu)
297,AQM Budhanilkantha,51,36.9,2018-11-28 22:02:04 ( Asia/Katmandu)
298,AQM Budhanilkantha,53,38.31,2018-11-28 21:52:04 ( Asia/Katmandu)
299,AQM Budhanilkantha,50,36.2,2018-11-28 21:42:04 ( Asia/Katmandu)
300,AQM Budhanilkantha,51,36.9,2018-11-28 21:32:04 ( Asia/Katmandu)
301,AQM Budhanilkantha,53,38.31,2018-11-28 21:22:04 ( Asia/Katmandu)
