S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
247,AQM Putalisadak,108,73.79,2018-11-29 06:15:09 ( Asia/Katmandu)
248,AQM Putalisadak,108,73.79,2018-11-29 06:05:07 ( Asia/Katmandu)
249,AQM Putalisadak,100,68.43,2018-11-29 05:55:12 ( Asia/Katmandu)
250,AQM Putalisadak,96,65.75,2018-11-29 05:45:12 ( Asia/Katmandu)
251,AQM Putalisadak,89,61.05,2018-11-29 05:35:18 ( Asia/Katmandu)
252,AQM Putalisadak,79,54.34,2018-11-29 05:24:17 ( Asia/Katmandu)
253,AQM Putalisadak,86,59.04,2018-11-29 05:15:14 ( Asia/Katmandu)
254,AQM Putalisadak,93,63.73,2018-11-29 05:05:11 ( Asia/Katmandu)
255,AQM Putalisadak,117,79.83,2018-11-29 04:54:43 ( Asia/Katmandu)
256,AQM Putalisadak,110,75.13,2018-11-29 04:44:31 ( Asia/Katmandu)
257,AQM Putalisadak,106,72.45,2018-11-29 04:34:56 ( Asia/Katmandu)
258,AQM Putalisadak,113,77.15,2018-11-29 04:23:55 ( Asia/Katmandu)
259,AQM Putalisadak,102,69.77,2018-11-29 04:14:47 ( Asia/Katmandu)
260,AQM Putalisadak,102,69.77,2018-11-29 04:04:53 ( Asia/Katmandu)
261,AQM Putalisadak,107,73.12,2018-11-29 03:54:48 ( Asia/Katmandu)
262,AQM Putalisadak,118,80.5,2018-11-29 03:44:35 ( Asia/Katmandu)
263,AQM Putalisadak,116,79.16,2018-11-29 03:35:07 ( Asia/Katmandu)
264,AQM Putalisadak,76,52.33,2018-11-29 03:25:11 ( Asia/Katmandu)
265,AQM Putalisadak,75,51.66,2018-11-29 03:15:05 ( Asia/Katmandu)
266,AQM Putalisadak,75,51.66,2018-11-29 03:05:21 ( Asia/Katmandu)
267,AQM Putalisadak,71,48.98,2018-11-29 02:55:25 ( Asia/Katmandu)
268,AQM Putalisadak,68,46.97,2018-11-29 02:43:48 ( Asia/Katmandu)
269,AQM Putalisadak,65,44.95,2018-11-29 02:34:48 ( Asia/Katmandu)
270,AQM Putalisadak,64,44.28,2018-11-29 02:25:19 ( Asia/Katmandu)
271,AQM Putalisadak,66,45.62,2018-11-29 02:15:04 ( Asia/Katmandu)
272,AQM Putalisadak,67,46.3,2018-11-29 02:04:53 ( Asia/Katmandu)
273,AQM Putalisadak,68,46.97,2018-11-29 01:55:18 ( Asia/Katmandu)
274,AQM Putalisadak,72,49.65,2018-11-29 01:44:17 ( Asia/Katmandu)
275,AQM Putalisadak,78,53.67,2018-11-29 01:34:17 ( Asia/Katmandu)
276,AQM Putalisadak,81,55.68,2018-11-29 01:24:18 ( Asia/Katmandu)
277,AQM Putalisadak,80,55.01,2018-11-29 01:14:44 ( Asia/Katmandu)
278,AQM Putalisadak,83,57.03,2018-11-29 01:04:14 ( Asia/Katmandu)
279,AQM Putalisadak,87,59.71,2018-11-29 00:54:42 ( Asia/Katmandu)
280,AQM Putalisadak,90,61.72,2018-11-29 00:44:43 ( Asia/Katmandu)
281,AQM Putalisadak,92,63.06,2018-11-29 00:34:41 ( Asia/Katmandu)
282,AQM Putalisadak,94,64.4,2018-11-29 00:25:20 ( Asia/Katmandu)
283,AQM Putalisadak,91,62.39,2018-11-29 00:13:16 ( Asia/Katmandu)
284,AQM Putalisadak,99,67.76,2018-11-29 00:04:01 ( Asia/Katmandu)
285,AQM Putalisadak,97,66.42,2018-11-28 23:54:45 ( Asia/Katmandu)
286,AQM Putalisadak,78,53.67,2018-11-28 23:44:39 ( Asia/Katmandu)
287,AQM Putalisadak,70,48.31,2018-11-28 23:34:32 ( Asia/Katmandu)
288,AQM Putalisadak,72,49.65,2018-11-28 23:24:56 ( Asia/Katmandu)
289,AQM Putalisadak,72,49.65,2018-11-28 23:14:27 ( Asia/Katmandu)
290,AQM Putalisadak,89,61.05,2018-11-28 23:04:11 ( Asia/Katmandu)
291,AQM Putalisadak,95,65.07,2018-11-28 22:55:23 ( Asia/Katmandu)
292,AQM Putalisadak,87,59.71,2018-11-28 22:45:16 ( Asia/Katmandu)
293,AQM Putalisadak,80,55.01,2018-11-28 22:35:37 ( Asia/Katmandu)
294,AQM Putalisadak,107,73.12,2018-11-28 22:14:51 ( Asia/Katmandu)
295,AQM Putalisadak,119,81.17,2018-11-28 22:04:14 ( Asia/Katmandu)
296,AQM Putalisadak,123,83.85,2018-11-28 21:54:44 ( Asia/Katmandu)
297,AQM Putalisadak,117,79.83,2018-11-28 21:44:19 ( Asia/Katmandu)
